work_id	learning_question_zh	reading_focus_zh
DA-W-0074	观音主题的一部经，为什么需要保留梵文名？	先用Kāraṇḍavyūha与Toh116锁定对象，再查慈悲与咒语主题；宽泛中文别名必须另行核对。
DA-W-0075	宇宙图景怎样服务伦理与业的讲述？	沿《正法念处经》的世界、行为与结果阅读；宗教宇宙观不是可以直接等同现代地理的地图。
DA-W-0076	用诗写佛陀传记，会怎样改变讲故事的方式？	对照Buddhacarita的诗体、汉译与原文材料；文学叙事、作者归属和历史证据分别判断。
DA-W-0077	佛陀生平与本生叙事，如何组合成“大事”？	先找Mahāvastu具体版本；GRETIL目录只是发现入口，不能冒充已核对的全文或所有写本。
DA-W-0078	因缘故事如何把行为与结果组织成叙事？	从Divyāvadāna中选定单篇，标人物、事件与篇章边界，再与其他故事集做关系比较。
DA-W-0079	“百事”“百喻”“百譬喻”会不会指向不同书？	本条中文复合标题仍需规范化；先核Avadānaśataka与Toh343，暂不据相似译名合并《百喻经》。
DA-W-0080	同为本生，诗体选集与大型故事合集怎么比较？	先确定Jātakamālā的版本与单篇范围，再比选材、文体和伦理主题；不要把两种合集视为同书。
DA-W-0081	怎样从引经材料中研究菩萨的学习与伦理？	以《学处集要》练习追引文：本书引用了哪部经，哪个版本能找到相应片段，哪些已经失传？
DA-W-0082	菩提心、行为训练与空性怎样连成学习道路？	从《入菩萨行论》的章节进入，再分开根本颂、注释与现代讲记，避免全部计作同一文本。
DA-W-0083	一部大乘论书怎样整理思想结构？	把《大乘庄严经论》的根本颂、释论、译本和目录编号分开，再读瑜伽行传统的概念组织。
DA-W-0084	“中”与“边”在这部论中具体讨论什么？	从《辨中边论》的原词和上下文进入，不因标题有“中”就自动归入另一套中观论证。
DA-W-0085	三十首颂怎样被展开成复杂的唯识讨论？	先锁定根本颂，再沿注释和翻译追概念；颂数、译文长度与解释篇幅是不同计量。
DA-W-0086	《唯识二十论》与《唯识三十颂》怎么一起读？	并排看各自的问题和论证结构，而不是把二十与三十理解成同一书的删节或扩充。
DA-W-0087	怎样在一部论中追踪阿赖耶识的概念？	以《摄大乘论》为入口记录术语、章节和注释关系；不同译本的译词不能直接逐字等同。
DA-W-0088	把经验与心的活动分类，是什么样的思想工作？	从《集论》的阿毗达磨术语进入，分清根本文本、释论与后代系统化解释。
DA-W-0089	“菩萨地”是独立研究对象，还是大书的一部分？	同时保留章节级与作品级标识，再比较不同版本怎样组织菩萨道路；不要重复计数而不说明。
DA-W-0090	佛性讨论怎样从经文进入论书？	将《宝性论》与如来藏相关经文并排，追引用与解释关系；署名传统和文本来源分别核对。
DA-W-0091	我们凭什么说自己“知道”一件事？	从《集量论》的认识与论证问题进入；先取得确切版本，学科分类页不是作品全文证据。
DA-W-0092	怎样读一部关于有效认识与论证的论书？	用《释量论》区分根本颂、注释和翻译，再与《集量论》比较问题；书名关系不足以代替论证。
DA-W-0093	进入中观，是先读结论还是先看论证？	沿《入中论》的菩萨与中观主题定位章节；把根本颂、释论和传统解读分层展示。
DA-W-0094	“破除”一个观点，需要怎样的论证？	从《四百论》选择具体论题，标主张、理由与对手立场；不把“空”缩成一句什么都没有。
DA-W-0095	当别人反对一种论证时，回应如何展开？	用《回诤论》练习记录论点、反对意见和答复；区分文本设定的对话与现代逻辑重构。
DA-W-0096	伦理、治理与哲学能在同一文本里相遇吗？	从《宝鬘》的王者与伦理主题进入，区分劝诫文本、历史受众与后代政治解释。
DA-W-0097	大型般若文献能怎样被整理成道路结构？	把《现观庄严论》当作结构化阅读入口，再回到对应般若材料核对；概念对应不是文本同一。
DA-W-0098	一部简要的“道灯”，怎样指引后来的学习？	先读《菩提道灯论》自身的结构，再研究与后世道次第文献的接受关系，避免倒推全部相同。
DA-W-0099	《广论》怎样安排一个长期学习过程？	从具体版本、目录和章节开始；Adarshah下载入口与WorldCat书目入口各有用途，不能统称已读全文。
DA-W-0100	“西藏度亡经”这个流行书名，遮住了哪些差别？	先分清中阴相关文集、具体仪轨、现代选译与通俗出版物；本条仍是传统层级导航，不伪装成单一古典原书。
